,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
0,1.,2010,"Korea, Republic of",Flash,"Lee, Young Ho","$194,924.30","$670,457.77","Lee ""Flash"" Young Ho - StarCraft: Brood War Player",97
1,2.,2010,United States,Mystik,Katherine Gunn,"$100,000.00","$122,550.00","Katherine ""Mystik"" Gunn - Female Call of Duty Player",7
2,3.,2010,United States,applesauce,Mark Smith,"$100,000.00","$100,000.00","Mark ""applesauce"" Smith - Multigaming Player",1
3,4.,2010,"Korea, Republic of",Jaedong,"Lee, Jae Dong","$98,019.82","$643,290.35","Lee ""Jaedong"" Jae Dong - StarCraft: Brood War Player",111
4,5.,2010,"Korea, Republic of",FruitDealer,"Kim, Won Ki","$92,393.59","$103,075.12","Kim ""FruitDealer"" Won Ki - StarCraft II Player",13
5,6.,2010,"Korea, Republic of",NesTea,"Lim, Jae Duk","$92,376.61","$288,225.07","Lim ""NesTea"" Jae Duk - StarCraft II Player",57
6,7.,2010,"Korea, Republic of",MC,"Jang, Min Chul","$89,441.77","$509,852.06","Jang ""MC"" Min Chul - StarCraft II Player",117
7,8.,2010,United States,Cloud,Scott Holste Jr.,"$48,700.00","$111,676.67","Scott ""Cloud"" Holste Jr. - Halo Player",40
8,9.,2010,United States,FearItSelf,Justin Kats,"$47,000.00","$160,320.83","Justin ""FearItSelf"" Kats - VALORANT Player",46
9,10.,2010,"Korea, Republic of",ReMinD,"Kim, Sung Sik","$46,043.49","$169,925.03","Kim ""ReMinD"" Sung Sik - WarCraft III: Reforged Player",124
10,11.,2010,"Korea, Republic of",Moon,"Jang, Jae Ho","$44,483.47","$696,159.04","Jang ""Moon"" Jae Ho - WarCraft III: Reforged Player",171
11,12.,2010,United States,Pistola,Justin Deese,"$43,700.00","$385,510.00","Justin ""Pistola"" Deese - Halo Player",70
12,13.,2010,United States,OGRE2,Tom Ryan,"$42,000.00","$293,043.43","Tom ""OGRE2"" Ryan - Halo Player",89
13,14.,2010,United States,Victory X,Cameron Thorlakson,"$42,000.00","$131,993.39","Cameron ""Victory X"" Thorlakson - Halo Player",47
14,15.,2010,Ukraine,Edward,Ioann Sukharev,"$41,931.93","$719,374.82","Ioann ""Edward"" Sukharev - CS:GO Player",212
15,16.,2010,Ukraine,markeloff,Yegor Markelov,"$41,931.93","$169,652.45","Yegor ""markeloff"" Markelov - CS:GO Player",131
16,17.,2010,Ukraine,starix,Sergey Ishuk,"$41,931.93","$136,585.80","Sergey ""starix"" Ishuk - CS:GO Player",134
17,18.,2010,Ukraine,Zeus,Daniil Teslenko,"$41,169.27","$792,585.87","Daniil ""Zeus"" Teslenko - CS:GO Player",204
18,19.,2010,Ukraine,ceh9,Arseniy Trynozhenko,"$41,169.27","$85,789.77","Arseniy ""ceh9"" Trynozhenko - CS:GO Player",71
19,20.,2010,"Korea, Republic of",EffOrt,"Kim, Jung Woo","$40,396.34","$174,830.58","Kim ""EffOrt"" Jung Woo - StarCraft: Brood War Player",44
20,21.,2010,"Korea, Republic of",Lyn,"Park, Joon","$39,414.59","$571,349.41","Park ""Lyn"" Joon - WarCraft III: Reforged Player",169
